13.1	0.011004	0		1	0.00084
12.445	0.070347	0		0.95	0.00537
11.79	0.126415	0		0.9	0.00965
10.48	0.229119	0		0.8	0.01749
9.17	0.320033	0		0.7	0.02443
7.86	0.398633	0		0.6	0.03043
6.55	0.462299	0		0.5	0.03529
5.24	0.506839	0		0.4	0.03869
3.93	0.524131	0		0.3	0.04001
3.275	0.518891	0		0.25	0.03961
2.62	0.501075	0		0.2	0.03825
1.965	0.466884	0		0.15	0.03564
1.31	0.408851	0		0.1	0.03121
0.9825	0.3668	0		0.075	0.028
0.655	0.310339	0		0.05	0.02369
0.3275	0.228333	0		0.025	0.01743
0.16375	0.165453	0		0.0125	0.01263
0	0	0		0	0
0.16375	-0.165453	0		0.0125	-0.01263
0.3275	-0.228333	0		0.025	-0.01743
0.655	-0.310339	0		0.05	-0.02369
0.9825	-0.3668	0		0.075	-0.028
1.31	-0.408851	0		0.1	-0.03121
1.965	-0.466884	0		0.15	-0.03564
2.62	-0.501075	0		0.2	-0.03825
3.275	-0.518891	0		0.25	-0.03961
3.93	-0.524131	0		0.3	-0.04001
5.24	-0.506839	0		0.4	-0.03869
6.55	-0.462299	0		0.5	-0.03529
7.86	-0.398633	0		0.6	-0.03043
9.17	-0.320033	0		0.7	-0.02443
10.48	-0.229119	0		0.8	-0.01749
11.79	-0.126415	0		0.9	-0.00965
12.445	-0.070347	0		0.95	-0.00537
13.1	-0.011004	0		1	-0.00084
