5.9	0.006195	0		1	0.00105	0
5.605	0.039648	0		0.95	0.00672	0
5.31	0.071213	0		0.9	0.01207	0
4.72	0.129033	0		0.8	0.02187	0
4.13	0.180127	0		0.7	0.03053	0
3.54	0.224377	0		0.6	0.03803	0
2.95	0.260308	0		0.5	0.04412	0
2.36	0.285383	0		0.4	0.04837	0
1.77	0.295118	0		0.3	0.05002	0
1.475	0.292168	0		0.25	0.04952	0
1.18	0.282138	0		0.2	0.04782	0
0.885	0.262845	0		0.15	0.04455	0
0.59	0.230218	0		0.1	0.03902	0
0.4425	0.2065	0		0.075	0.035	0
0.295	0.174758	0		0.05	0.02962	0
0.1475	0.128502	0		0.025	0.02178	0
0.07375	0.093102	0		0.0125	0.01578	0
0	0	0		0	0	0
0.07375	-0.093102	0		0.0125	-0.01578	0
0.1475	-0.128502	0		0.025	-0.02178	0
0.295	-0.174758	0		0.05	-0.02962	0
0.4425	-0.2065	0		0.075	-0.035	0
0.59	-0.230218	0		0.1	-0.03902	0
0.885	-0.262845	0		0.15	-0.04455	0
1.18	-0.282138	0		0.2	-0.04782	0
1.475	-0.292168	0		0.25	-0.04952	0
1.77	-0.295118	0		0.3	-0.05002	0
2.36	-0.285383	0		0.4	-0.04837	0
2.95	-0.260308	0		0.5	-0.04412	0
3.54	-0.224377	0		0.6	-0.03803	0
4.13	-0.180127	0		0.7	-0.03053	0
4.72	-0.129033	0		0.8	-0.02187	0
5.31	-0.071213	0		0.9	-0.01207	0
5.605	-0.039648	0		0.95	-0.00672	0
5.9	-0.006195	0		1	-0.00105	0
